task_id,spec_id,start,end,subjects,periods,clust_per_seq,total_subjects,WPICC,CAC,theta
1,1,1,1000,10,5,1,200,0.05,1,0
2,2,1,1000,10,5,1,200,0.1,1,0
3,3,1,1000,10,5,1,200,0.05,0.8,0
4,4,1,1000,10,5,1,200,0.1,0.8,0
5,5,1,1000,10,5,2,400,0.05,1,0
6,6,1,1000,10,5,2,400,0.1,1,0
7,7,1,1000,10,5,2,400,0.05,0.8,0
8,8,1,1000,10,5,2,400,0.1,0.8,0
9,9,1,1000,10,9,1,720,0.05,1,0
10,10,1,1000,10,9,1,720,0.1,1,0
11,11,1,1000,10,9,1,720,0.05,0.8,0
12,12,1,1000,10,9,1,720,0.1,0.8,0
13,13,1,1000,10,5,5,1000,0.05,1,0
14,14,1,1000,10,5,5,1000,0.1,1,0
15,15,1,1000,10,5,5,1000,0.05,0.8,0
16,16,1,1000,10,5,5,1000,0.1,0.8,0
17,17,1,1000,10,9,2,1440,0.05,1,0
18,18,1,1000,10,9,2,1440,0.1,1,0
19,19,1,1000,10,9,2,1440,0.05,0.8,0
20,20,1,1000,10,9,2,1440,0.1,0.8,0
21,21,1,1000,100,5,1,2000,0.05,1,0
22,22,1,1000,100,5,1,2000,0.1,1,0
23,23,1,1000,100,5,1,2000,0.05,0.8,0
24,24,1,1000,100,5,1,2000,0.1,0.8,0
25,25,1,500,10,9,5,3600,0.05,1,0
26,25,501,1000,10,9,5,3600,0.05,1,0
27,26,1,500,10,9,5,3600,0.1,1,0
28,26,501,1000,10,9,5,3600,0.1,1,0
29,27,1,500,10,9,5,3600,0.05,0.8,0
30,27,501,1000,10,9,5,3600,0.05,0.8,0
31,28,1,500,10,9,5,3600,0.1,0.8,0
32,28,501,1000,10,9,5,3600,0.1,0.8,0
33,29,1,500,100,5,2,4000,0.05,1,0
34,29,501,1000,100,5,2,4000,0.05,1,0
35,30,1,500,100,5,2,4000,0.1,1,0
36,30,501,1000,100,5,2,4000,0.1,1,0
37,31,1,500,100,5,2,4000,0.05,0.8,0
38,31,501,1000,100,5,2,4000,0.05,0.8,0
39,32,1,500,100,5,2,4000,0.1,0.8,0
40,32,501,1000,100,5,2,4000,0.1,0.8,0
41,33,1,250,100,9,1,7200,0.05,1,0
42,33,251,500,100,9,1,7200,0.05,1,0
43,33,501,750,100,9,1,7200,0.05,1,0
44,33,751,1000,100,9,1,7200,0.05,1,0
45,34,1,250,100,9,1,7200,0.1,1,0
46,34,251,500,100,9,1,7200,0.1,1,0
47,34,501,750,100,9,1,7200,0.1,1,0
48,34,751,1000,100,9,1,7200,0.1,1,0
49,35,1,250,100,9,1,7200,0.05,0.8,0
50,35,251,500,100,9,1,7200,0.05,0.8,0
51,35,501,750,100,9,1,7200,0.05,0.8,0
